Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
霸州,https://bazh.anjuke.com/,-1,460,20000,1537.333333,60,40,160,102.3833333,60,18,23,21.7145,2499,3215,2770
龙口,https://longkou.anjuke.com/,-1,330,7000,1220.073529,68,40,140,80.05882353,60,16,22,20.99166667,2148,3143,2776.066667
阿坝州,https://chengdu.anjuke.com/,-1,800,1400,1230.483333,60,37,100,72.47166667,60,16.8,24,21.57833333,2240,3381,2777.816667
大邑,https://chengdu.anjuke.com/,-1,800,1400,1230.483333,60,37,100,72.47166667,60,16.8,24,21.57833333,2240,3381,2777.816667
金堂,https://chengdu.anjuke.com/,-1,800,1400,1230.483333,60,37,100,72.47166667,60,16.8,24,21.57833333,2240,3381,2777.816667
成都,https://chengdu.anjuke.com/,-1,800,1400,1230.983333,60,37,100,72.52166667,60,16.8,24,21.57833333,2240,3381,2777.816667
潜江,https://qianjiang.anjuke.com/,-1,450,6000,1700,95,38,173.7,90.48736842,60,12,31,25.77,1340,4055,2779.883333
黔南,https://qiannan.anjuke.com/,-1,600,1500,976.6666667,60,51,106,78.16666667,60,16.5,22.8,20.99166667,1854,3258,2794.316667
华容,https://huarongxian.anjuke.com/,-1,150,16000,1569.344262,61,15,400,112.6065574,60,17,33.8,28.49,1329,4100,2802.733333
长春,https://cc.anjuke.com/,-1,550,1350,1237.166667,60,50,96,72.91,60,17,24,22.10533333,2000,3429,2828.3
农安,https://cc.anjuke.com/,-1,550,1350,1239.333333,60,50,96,73.88166667,60,17,24,22.10533333,2000,3429,2828.3
毕节,https://bijie.anjuke.com/,-1,400,13800,1763.527473,91,20,150,94.42307692,60,19.8,24.8,22.61366667,2106,3500,2833.866667
黔西南,https://qianxinan.anjuke.com/,-1,400,15000,1575.57971,69,18,282,104.9869565,60,19.8,23.8,22.24833333,2116,3400,2833.883333
嘉鱼,https://jiayuxian.anjuke.com/,-1,500,6900,1794.535714,28,60,173.4,116.7464286,60,21,33.6,29.37333333,1724,3850,2851.816667
梨树,https://lishuxian.anjuke.com/,-1,500,12000,4127.777778,9,39,230,80,60,15,24.8,22.11833333,2058,3398,2852.633333
防城港,https://fangchenggang.anjuke.com/,-1,300,3000,1026.447368,76,25,315,93.15263158,60,17,27,24.076,2097,3662,2853.85
明港,https://minggang.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,1,33,33,33,2858,2858,2858
垦利,https://kenli.anjuke.com/,-1,520,16000,2463.45,60,60,300,114.7116667,60,14,29,24.12666667,1750,3786,2870.733333
赤壁,https://chibi.anjuke.com/,-1,650,2500,1223.880597,67,35,142,88.28208955,60,13.8,30,25.57666667,1800,4000,2870.85
枝江,https://zhijiang.anjuke.com/,-1,300,7200,854.5333333,60,20,450,90.40833333,60,12,26.8,22.95666667,1427,3686,2921.85
肇州,https://zhaozhou.anjuke.com/,-1,700,9500,5100,2,50.6,70.6,60.6,60,16.5,28,24.445,1939,3676,2927.083333
渠县,https://quxian.anjuke.com/,-1,350,17000,1707.508197,61,25,150,88.69016393,60,15.6,26.8,23.481,1334,3743,2939.483333
上海,https://shanghai.anjuke.com/,-1,900,1900,1526.666667,60,50,102.8,78.27833333,60,5,25,22.10616667,503,3572,2946.1
清徐,https://qingxu.anjuke.com/,-1,350,9000,1300.869565,23,60,140,103.273913,47,17.8,200,39.19787234,2021,12313,2973.93617
