Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
霸州,https://bazh.anjuke.com/,-1,460,20000,1537.3333333333333,60,40.0,160.0,102.38333333333334,60,18.0,23.0,21.7145,2499,3215,2770.0
北票,https://beipiao.anjuke.com/,-1,450,11000,4057.3529411764707,34,30.0,250.0,67.92058823529412,60,10.0,24.5,20.34333333333333,1429,3500,2634.1
北流,https://beiliu.anjuke.com/,-1,450,2500,1268.3076923076924,65,20.0,164.0,81.24615384615385,60,29.0,51.8,44.259333333333345,3000,6494,4436.833333333333
博白,https://bobaixian.anjuke.com/,-1,400,2500,1228.0,20,35.0,160.0,103.05,50,36.0,88.0,61.001999999999995,3339,6087,4727.46
博罗,https://boluoxian.anjuke.com/,-1,700,1300,1085.1666666666667,60,32.0,99.0,70.10666666666665,60,18.0,22.0,20.506666666666668,2167,2934,2557.4166666666665
宝应县,https://baoyingxian.anjuke.com/,-1,550,16800,1806.3833333333334,60,28.0,210.0,88.41666666666667,60,26.0,49.8,43.413333333333334,2796,6685,5144.616666666667
博兴,https://boxingxian.anjuke.com/,-1,200,16000,1912.9,30,20.0,176.0,91.09333333333332,60,25.6,65.0,54.52166666666667,3600,8286,5998.933333333333
成都,https://chengdu.anjuke.com/,-1,800,1400,1230.9833333333333,60,37.0,100.0,72.52166666666668,60,16.8,24.0,21.57833333333333,2240,3381,2777.8166666666666
重庆,https://chongqing.anjuke.com/,11320,INIT,INIT,INIT,INIT,INIT,INIT,INIT,60,13.8,18.8,16.881666666666657,1389,2686,2089.866666666667
长沙,https://cs.anjuke.com/,10045,680,1480,1333.7833333333333,60,46.0,102.0,78.97,60,24.8,36.8,32.527999999999984,2755,5026,3871.1
常州,https://cz.anjuke.com/,14767,1000,1800,1549.3666666666666,60,45.0,95.0,71.425,60,35.0,45.0,42.90999999999998,4300,6258,5502.35
长春,https://cc.anjuke.com/,-1,550,1350,1237.1666666666667,60,50.0,96.0,72.91,60,17.0,24.0,22.10533333333333,2000,3429,2828.3
沧州,https://cangzhou.anjuke.com/,10735,600,6000,1513.7802197802198,91,40.0,450.0,96.61758241758241,60,26.0,40.0,36.41833333333332,3158,5715,4336.533333333334
昌吉,https://changji.anjuke.com/,6010,200,15000,1215.9782608695652,92,40.0,168.0,86.84347826086955,60,10.0,22.9,19.955000000000002,1389,3272,2445.85
赤峰,https://chifeng.anjuke.com/,9818,700,3750,1626.8953488372092,86,35.0,220.0,78.86395348837209,60,20.0,34.0,30.261666666666667,2000,4715,3827.8333333333335
常德,https://changde.anjuke.com/,6842,1000,2700,1796.8653846153845,52,39.0,130.0,81.40384615384616,60,15.0,28.0,23.57333333333332,1852,3829,2854.4166666666665
郴州,https://chenzhou.anjuke.com/,6363,560,3000,1257.2784810126582,79,20.0,999.0,89.58354430379747,60,19.0,32.0,28.666666666666643,2117,4515,3415.6666666666665
承德,https://chengde.anjuke.com/,10177,280,20000,2618.641025641026,78,20.0,165.0,78.88846153846154,60,24.0,37.0,32.291666666666664,3244,5143,4365.55
长治,https://changzhi.anjuke.com/,9165,600,3000,1384.2875,80,35.0,188.0,97.31,60,19.0,37.0,30.756666666666668,1667,4800,3593.983333333333
池州,https://chizhou.anjuke.com/,8997,400,2200,1159.5844155844156,77,25.0,212.0,81.64805194805194,60,18.9,37.8,32.76,1634,5000,3678.65
滁州,https://chuzhou.anjuke.com/,7243,500,14000,1622.072463768116,69,30.0,145.0,93.45217391304348,60,14.38,23.0,21.177999999999983,1388,3184,2508.483333333333
朝阳,https://chaoyang.anjuke.com/,4766,167,14000,2141.521739130435,69,20.0,150.0,66.60289855072465,60,10.0,19.8,17.528499999999994,1429,2715,2334.7
潮州,https://chaozhou.anjuke.com/,5948,250,4000,1846.7536231884058,69,25.0,240.0,97.32898550724637,60,15.5,23.5,20.757999999999996,1819,3286,2537.85
楚雄,https://chuxiong.anjuke.com/,5639,300,5500,1212.5316455696202,79,30.0,230.0,85.3860759493671,60,20.0,31.0,27.633333333333326,2470,4429,3523.1666666666665
巢湖,https://chaohu.anjuke.com/,14215,700,1200,1020.2333333333333,60,40.0,99.0,77.80333333333334,60,22.0,42.0,37.81166666666666,2315,6000,4838.2
昌都,https://changdu.anjuke.com/,-1,2500,6000,3571.4285714285716,7,80.8,186.0,136.77142857142857,7,40.0,150.0,75.28571428571429,3659,10639,5995.714285714285
长葛,https://changge.anjuke.com/,-1,400,3000,1133.3166666666666,60,30.0,300.0,100.66666666666667,60,18.0,42.0,34.17666666666667,1637,4942,3013.1
崇左,https://chongzuo.anjuke.com/,-1,530,6500,1773.5,60,30.0,175.0,101.29333333333334,60,20.5,38.5,33.60333333333333,2563,4972,3677.8333333333335
常熟,https://changshushi.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
赤壁,https://chibi.anjuke.com/,-1,650,2500,1223.8805970149253,67,35.0,142.0,88.2820895522388,60,13.8,30.0,25.576666666666664,1800,4000,2870.85
岑溪,https://cengxi.anjuke.com/,-1,450,2980,1501.3333333333333,60,30.0,376.0,101.55,60,23.9,41.8,33.99499999999998,2650,5307,3909.25
