Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
鞍山,https://anshan.anjuke.com/,4731,500,2500,1511.8653846153845,52,53.0,139.0,83.14038461538462,59,0.1,14.0,11.993220338983043,12,1972,1608.0
安阳,https://anyang.anjuke.com/,6250,360,2500,1314.8505747126437,87,30.0,175.0,93.80919540229884,60,46.0,285.0,94.86533333333334,3572,12381,6935.616666666667
安庆,https://anqing.anjuke.com/,8546,550,1500,1160.55,60,45.0,100.0,77.93333333333335,60,15.0,28.5,25.16,1403,3750,3000.4333333333334
安康,https://ankang.anjuke.com/,5292,700,1500,1263.9666666666667,60,53.0,110.0,90.16666666666667,INIT,INIT,INIT,INIT,INIT,INIT,INIT
安顺,https://anshun.anjuke.com/,5185,600,1800,1164.3255813953488,43,50.0,120.0,72.11627906976744,60,13.0,25.0,21.838333333333324,1624,3572,2828.3
阿坝,https://aba.anjuke.com/,-1,980,10000,4695.0,4,68.0,700.0,341.25,33,39.0,150.0,92.88,4235,12778,8048.212121212121
阿克苏,https://akesu.anjuke.com/,-1,958,30000,2527.6301369863013,73,30.0,320.0,87.63013698630137,60,13.0,21.0,18.621666666666666,1273,2958,2065.2833333333333
阿里,https://ali.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
阿拉尔,https://alaer.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
阿拉善盟,https://alashanmeng.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
安丘,https://anqiu.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
安宁,https://anning.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
安吉县,https://anjixian.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
