Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
鞍山,https://anshan.anjuke.com/,4731,500,15000,2491.0377358490564,53,46.8,130.0,81.74150943396225,59,0.1,14.0,12.2864406779661,12,2000,1611.1016949152543
安阳,https://anyang.anjuke.com/,6250,INIT,INIT,INIT,INIT,INIT,INIT,INIT,60,19.9,26.0,24.763333333333332,2398,3715,3275.85
安庆,https://anqing.anjuke.com/,8546,600,1800,1165.8333333333333,60,45.0,110.0,77.055,60,15.0,26.0,23.729999999999993,1403,3278,2831.85
安康,https://ankang.anjuke.com/,5292,999,1833,1413.8,60,78.0,116.0,95.06333333333332,INIT,INIT,INIT,INIT,INIT,INIT,INIT
安顺,https://anshun.anjuke.com/,5185,700,2100,1119.6666666666667,60,40.0,141.0,80.8,INIT,INIT,INIT,INIT,INIT,INIT,INIT
阿坝,https://aba.anjuke.com/,-1,650,25000,5992.857142857143,7,78.0,1230.0,362.42857142857144,33,39.0,150.0,92.87878787878788,4235,12778,8071.909090909091
阿克苏,https://akesu.anjuke.com/,-1,833,12500,1734.3066666666666,75,30.0,160.0,82.2,60,14.0,20.0,17.254999999999995,1273,2570,1995.35
阿里,https://ali.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT,INIT
阿拉尔,https://alaer.anjuke.com/,-1,INIT,INIT,INIT,INIT,INIT,INIT,INIT,19,35.0,60.0,41.94736842105263,2324,5021,4065.2631578947367
阿拉善盟,https://alashanmeng.anjuke.com/,-1,590,3500,1206.0,30,25.0,280.0,90.98,56,18.5,83.0,44.10178571428571,1898,5846,3850.4821428571427
安丘,https://anqiu.anjuke.com/,-1,280,2000,922.2432432432432,74,20.0,140.0,87.71756756756757,60,15.0,28.0,24.24499999999999,2019,3929,3069.55
安宁,https://anning.anjuke.com/,-1,800,1300,1120.0,60,57.8,94.0,75.54666666666665,60,22.0,35.0,27.716666666666672,3142,4930,3832.483333333333
安吉县,https://anjixian.anjuke.com/,-1,800,3500,1928.688524590164,61,25.0,215.0,73.74426229508197,60,47.0,68.0,61.846666666666664,5728,9064,7316.133333333333
安溪,https://anxi.anjuke.com/,-1,600,4000,2051.6129032258063,62,28.0,150.0,86.52903225806452,60,60.0,99.0,90.83666666666667,6489,12938,9481.366666666667
林州,https://aylinzhou.anjuke.com/,-1,150,400000,12366.121951219513,41,15.0,200.0,85.6829268292683,60,23.0,39.8,33.78666666666666,2398,4419,3311.55
安岳,https://anyuexian.anjuke.com/,-1,500,1400,1017.890625,64,37.6,134.0,88.653125,60,18.0,28.8,26.509999999999994,2400,3946,3241.2833333333333
阿勒泰,https://aletai.anjuke.com/,-1,1400,3500,1971.4285714285713,7,65.0,149.0,91.71428571428571,60,26.0,42.0,36.068333333333335,2683,5429,4068.7833333333333
北京,https://beijing.anjuke.com/,57973,1000,1500,1429.8666666666666,60,54.0,122.2,80.43499999999999,60,19.0,24.8,21.968166666666665,2429,3358,2847.8333333333335
保定,https://baoding.anjuke.com/,10151,550,1200,998.65,60,42.0,105.0,79.89333333333335,60,21.0,36.0,33.18116666666666,2396,4979,4024.9166666666665
包头,https://baotou.anjuke.com/,8142,500,3000,1398.989247311828,93,34.0,168.0,81.59677419354838,60,16.5,27.0,24.125,1950,3858,3083.2833333333333
滨州,https://binzhou.anjuke.com/,7958,450,1666,1023.3,60,50.0,135.0,90.81666666666666,60,20.0,28.0,25.888333333333335,2091,4000,3235.65
宝鸡,https://baoji.anjuke.com/,5289,500,2400,1478.5833333333333,60,34.0,117.0,85.61333333333336,60,15.0,19.8,17.894999999999992,1912,2829,2412.95
蚌埠,https://bengbu.anjuke.com/,7344,300,2200,943.8333333333334,60,55.0,108.0,78.36666666666666,60,1.0,23.0,9.316666666666666,82,3286,1143.3833333333334
本溪,https://benxi.anjuke.com/,5400,400,2600,1231.5068493150684,73,30.0,185.0,63.68219178082193,60,5.0,16.0,13.751666666666665,674,2280,1844.1166666666666
北海,https://beihai.anjuke.com/,6451,500,3500,1420.1923076923076,52,60.0,118.0,85.21923076923076,60,21.5,27.5,25.756999999999998,2449,3858,3260.633333333333
巴音郭楞,https://bayinguoleng.anjuke.com/,4061,700,4167,1393.6097560975609,82,30.0,183.0,88.1329268292683,60,14.0,17.8,16.908333333333324,1556,2543,2216.1833333333334
巴中,https://bazhong.anjuke.com/,4849,750,1700,1226.4545454545455,44,69.0,104.0,82.36363636363636,60,15.8,23.0,20.673333333333336,1730,3089,2309.0833333333335
巴彦淖尔市,https://bayannaoer.anjuke.com/,5503,500,15000,1487.6133333333332,75,30.0,150.0,89.49733333333333,60,10.0,20.0,17.801666666666666,1112,2740,2155.9333333333334
亳州,https://bozhou.anjuke.com/,6324,520,13000,1329.4698795180723,83,20.0,218.0,93.23855421686747,60,18.0,30.0,26.497666666666667,1819,4143,3042.5333333333333
白银,https://baiyin.anjuke.com/,5702,600,2500,1249.5454545454545,88,40.0,140.0,78.28181818181818,60,22.5,29.8,27.404999999999987,2552,4215,3603.7
白城,https://baicheng.anjuke.com/,4860,100,6500,1199.4333333333334,60,28.0,90.0,51.06333333333334,60,10.0,18.5,16.895,1333,2643,2184.5333333333333
百色,https://baise.anjuke.com/,-1,500,3800,1858.955223880597,67,25.0,280.0,93.2910447761194,60,21.0,31.0,27.41,2079,4306,3359.516666666667
白山,https://baishan.anjuke.com/,-1,350,5000,824.6666666666666,60,20.0,117.0,66.54666666666667,60,10.5,23.5,19.881666666666664,1443,3286,2601.55
博尔塔拉,https://boertala.anjuke.com/,-1,600,18000,1780.05,60,36.0,120.0,90.15333333333334,60,15.0,20.0,17.955,1685,2858,2303.8
毕节,https://bijie.anjuke.com/,-1,650,2200,1273.1971830985915,71,20.0,160.0,97.16901408450704,60,18.8,24.8,22.24666666666666,1800,3543,2823.633333333333
保山,https://baoshan.anjuke.com/,-1,600,12000,1902.4324324324325,74,45.0,400.0,107.4581081081081,60,17.8,26.0,24.245000000000005,2312,3715,2989.9
霸州,https://bazh.anjuke.com/,-1,500,13000,1334.4590163934427,61,12.0,195.0,99.872131147541,60,20.0,25.0,23.471666666666668,2414,3572,2869.2
北票,https://beipiao.anjuke.com/,-1,300,6000,2213.6363636363635,22,30.0,118.0,67.51818181818182,60,10.0,22.0,17.87833333333333,1427,3072,2333.366666666667
北流,https://beiliu.anjuke.com/,-1,500,3000,1472.672131147541,61,30.0,163.0,90.73114754098361,60,28.0,46.0,41.25333333333333,2667,6082,4226.766666666666
博白,https://bobaixian.anjuke.com/,-1,300,3980,1593.1764705882354,34,30.0,188.0,106.31470588235294,60,31.8,60.0,49.83833333333334,3071,5334,4169.483333333334
博罗,https://boluoxian.anjuke.com/,-1,888,1700,1389.9,60,40.0,96.0,75.96000000000001,60,15.88,20.0,18.910833333333333,2134,2565,2316.7166666666667
宝应县,https://baoyingxian.anjuke.com/,-1,650,3100,1608.5079365079366,63,30.0,150.0,86.27301587301588,60,26.0,48.0,41.03833333333332,2796,6829,4850.033333333334
