Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
鞍山,https://anshan.anjuke.com/,4731,500,2500,1511.8653846153845,52,53.0,139.0,83.14038461538462,59,0.1,14.0,12.00677966101694,12,1972,1609.7796610169491
阿克苏,https://akesu.anjuke.com/,-1,900,15500,1897.4305555555557,72,28.0,157.0,90.98611111111111,60,13.0,21.0,18.488333333333333,1273,2958,2050.866666666667
阿拉尔,https://alaer.anjuke.com/,-1,700,14000,6173.6,5,84.0,105.0,93.0,19,26.0,46.0,40.32631578947369,2688,4681,3936.0526315789475
阿拉善盟,https://alashanmeng.anjuke.com/,-1,450,13000,1885.2941176470588,34,25.0,130.0,96.59705882352942,54,24.0,450000.0,8378.42962962963,2331,45941808,854620.5370370371
安丘,https://anqiu.anjuke.com/,-1,380,10000,1042.2238805970148,67,45.0,240.0,87.16417910447761,60,18.8,26.0,23.86499999999999,2297,3686,3090.633333333333
安宁,https://anning.anjuke.com/,-1,800,1400,1120.8333333333333,60,50.0,105.0,75.30999999999999,60,21.0,33.0,26.86333333333333,2917,4648,3719.9666666666667
林州,https://aylinzhou.anjuke.com/,-1,150,15000,1605.0833333333333,60,20.0,174.0,93.15,60,22.0,42.0,35.49333333333333,2136,5250,3470.8333333333335
安岳,https://anyuexian.anjuke.com/,-1,500,1700,1063.736111111111,72,38.0,145.0,87.84722222222223,60,20.8,31.8,28.326333333333324,2338,4143,3342.483333333333
阿勒泰,https://aletai.anjuke.com/,-1,900,5000,1742.857142857143,21,63.0,160.0,103.43809523809523,60,25.0,43.0,35.83833333333333,2683,5375,4057.85
蚌埠,https://bengbu.anjuke.com/,7344,400,1600,1130.1666666666667,60,58.0,120.0,82.86999999999999,60,17.5,28.0,24.183333333333334,2375,4000,3083.15
本溪,https://benxi.anjuke.com/,5400,320,3800,1344.3835616438357,73,30.0,215.0,67.7041095890411,60,5.0,15.0,12.933333333333334,674,2143,1713.35
巴音郭楞,https://bayinguoleng.anjuke.com/,4061,550,9000,1418.6986301369864,73,25.1,435.0,89.7931506849315,60,14.0,17.8,16.664999999999996,1556,2543,2175.55
巴中,https://bazhong.anjuke.com/,4849,300,15000,1299.2682926829268,82,20.0,200.0,92.54512195121951,60,14.0,23.0,20.595000000000002,1643,2879,2327.0666666666666
巴彦淖尔市,https://bayannaoer.anjuke.com/,5503,375,21500,2264.5915492957747,71,20.0,132.0,78.69577464788732,60,10.0,19.0,16.948166666666665,1112,2572,2069.233333333333
亳州,https://bozhou.anjuke.com/,6324,480,15000,1546.2941176470588,85,20.0,139.0,95.54235294117647,60,18.0,29.0,25.422666666666668,1800,4000,2873.35
白银,https://baiyin.anjuke.com/,5702,680,10000,1331.2643678160919,87,26.0,122.0,77.43333333333334,60,23.0,30.0,27.836666666666655,2552,4258,3662.633333333333
百色,https://baise.anjuke.com/,-1,650,3200,1845.9666666666667,60,12.0,208.0,93.27166666666668,60,20.0,30.0,26.74833333333333,1954,4143,3096.133333333333
博尔塔拉,https://boertala.anjuke.com/,-1,700,12000,1319.5245901639344,61,35.0,150.0,87.1639344262295,60,12.0,20.0,17.91166666666667,1264,2858,2334.0666666666666
毕节,https://bijie.anjuke.com/,-1,400,13800,1726.2087912087911,91,28.0,150.0,94.57472527472527,60,19.8,24.5,22.489333333333327,2106,3500,2855.1
保山,https://baoshan.anjuke.com/,-1,600,16500,2084.0285714285715,70,35.0,1200.0,128.17714285714285,60,22.0,32.6,28.159999999999993,2871,4367,3367.383333333333
霸州,https://bazh.anjuke.com/,-1,460,4000,1243.1666666666667,60,40.0,153.0,99.09333333333333,60,18.0,23.0,21.73116666666667,2499,3286,2780.1
北流,https://beiliu.anjuke.com/,-1,450,2500,1253.28125,64,20.0,164.0,79.671875,60,29.0,51.8,44.422666666666686,3000,6494,4443.533333333334
博白,https://bobaixian.anjuke.com/,-1,400,2500,1214.0,20,35.0,160.0,102.55,50,36.0,88.0,61.001999999999995,3339,6087,4727.46
博罗,https://boluoxian.anjuke.com/,-1,700,1300,1081.8333333333333,60,32.0,99.0,70.28999999999999,60,18.0,22.0,20.523333333333333,2167,2934,2559.0833333333335
宝应县,https://baoyingxian.anjuke.com/,-1,518,16800,1766.35,60,28.0,210.0,84.98333333333333,60,26.0,49.8,43.78,2796,6685,5186.716666666666
博兴,https://boxingxian.anjuke.com/,-1,200,16000,1826.2903225806451,31,20.0,176.0,85.76774193548387,60,26.0,68.0,57.12833333333333,3600,8286,6064.333333333333
成都,https://chengdu.anjuke.com/,-1,800,1400,1220.9833333333333,60,37.0,100.0,73.205,60,16.8,24.0,21.57833333333333,2240,3381,2777.8166666666666
重庆,https://chongqing.anjuke.com/,11320,600,1000,884.4666666666667,60,30.0,92.0,63.858333333333334,60,13.8,18.8,16.901666666666657,1389,2686,2089.15
常州,https://cz.anjuke.com/,14767,1000,1800,1546.8666666666666,60,45.0,95.0,71.84166666666667,60,35.0,45.0,42.906666666666645,4300,6258,5505.65
沧州,https://cangzhou.anjuke.com/,10735,600,5000,1536.9,90,40.0,450.0,99.64666666666668,60,26.0,40.0,36.41833333333332,3158,5715,4342.7
昌吉,https://changji.anjuke.com/,6010,200,1800,1106.7391304347825,92,37.0,160.0,85.66739130434782,60,10.0,23.0,20.005000000000003,1389,3272,2447.133333333333
赤峰,https://chifeng.anjuke.com/,9818,916,3750,1638.1411764705883,85,25.0,143.0,80.01647058823531,60,20.0,34.0,30.261666666666667,2000,4715,3827.8333333333335
常德,https://changde.anjuke.com/,6842,1000,2700,1784.5892857142858,56,39.0,130.0,81.78571428571429,60,15.0,28.0,23.53666666666665,1852,3972,2872.95
郴州,https://chenzhou.anjuke.com/,6363,280,3800,1317.6962025316457,79,25.0,205.0,73.7886075949367,60,19.0,32.0,28.666666666666643,2117,4515,3415.6666666666665
长治,https://changzhi.anjuke.com/,9165,499,3000,1305.2875,80,30.0,300.0,88.05375000000001,60,19.0,37.0,30.59,1667,5286,3561.5333333333333
池州,https://chizhou.anjuke.com/,8997,400,2200,1148.4657534246576,73,25.0,212.0,84.15205479452052,60,18.9,37.5,32.58,1634,5000,3656.35
朝阳,https://chaoyang.anjuke.com/,4766,167,14000,2045.231884057971,69,20.0,150.0,67.31304347826088,60,10.0,19.8,17.49516666666666,1429,2715,2333.8333333333335
楚雄,https://chuxiong.anjuke.com/,5639,300,5500,1228.625,80,25.0,317.0,86.61500000000001,60,20.0,31.6,27.759999999999994,2470,4429,3549.85
昌都,https://changdu.anjuke.com/,-1,2500,6000,3571.4285714285716,7,80.8,186.0,136.77142857142857,7,40.0,150.0,75.28571428571429,3659,10639,5995.714285714285
长葛,https://changge.anjuke.com/,-1,400,3000,1146.65,60,30.0,300.0,102.48333333333333,60,18.0,43.0,34.24333333333334,1637,5059,3048.5333333333333
岑溪,https://cengxi.anjuke.com/,-1,450,2980,1518.0,60,30.0,376.0,102.33333333333333,60,23.9,41.8,33.99499999999998,2650,5307,3909.25
