Name,URL,官方均价(元/㎡),min租金(元/月),max租金(元/月),avg租金(元/月),房子数/租金样本数量,租房最小面积(㎡),租房最大面积(㎡),租房平均面积(㎡),二手房样本数量,min二手房价(万元),max二手房价(万元),avg二手房价(万元),min二手房均价(元/㎡),max二手房均价(元/㎡),avg二手房均价(元/㎡)
安阳,https://anyang.anjuke.com/,6250,360,2500,1285.6860465116279,86,21.0,175.0,94.45930232558139,60,21.0,27.0,25.189999999999998,2136,3858,3378.3166666666666
安庆,https://anqing.anjuke.com/,8546,550,1500,1138.8833333333334,60,45.0,100.0,76.59666666666666,60,15.0,28.8,25.256666666666664,1403,3750,3016.366666666667
安顺,https://anshun.anjuke.com/,5185,600,1800,1163.4761904761904,42,50.0,95.0,70.97619047619048,60,13.0,25.5,21.979999999999997,1624,3572,2849.4666666666667
阿坝,https://aba.anjuke.com/,-1,980,10000,4695.0,4,68.0,700.0,341.25,33,39.0,150.0,92.88,4235,12778,8048.212121212121
阿克苏,https://akesu.anjuke.com/,-1,900,15500,1901.513888888889,72,28.0,157.0,92.09722222222223,60,13.0,21.0,18.488333333333333,1273,2958,2050.866666666667
阿拉善盟,https://alashanmeng.anjuke.com/,-1,450,13000,1885.2941176470588,34,25.0,130.0,96.59705882352942,54,24.0,450000.0,8378.42962962963,2331,45941808,854620.5370370371
